name,profile,url,categories,mobile,fax,contact,email,website,address,data_source,category,sub-category
Aamor Pte Ltd,"Singapore Bathroom Fittings Supplier of Bathtubs, Whirlpools, Jacuzzis, Toilets, Wash Basins, Mixers, Taps, Faucets, Ceramic Sanitary Ware",http://singapore-companies-directory.com/Company_Profiles/A14/aamor.htm,,,,,,,,,Furniture,Bath
Advanced Electronic Products Pte Ltd,"Singapore Electrical Equipment Company Suppliers of Telecommunication: Cat 5e, Cat 6, Cat 7 LAN Cable, Coaxial Cable, HDMI, USB Cable, Patch Cord, Patch Panel, Keystone Jack, Fiber Optic, 19 Cabinet Series, Outdoor LED Lighting, Solar Panels, LAN Cables, HDMI Cables, Fiber Optic Cables, Coaxial Cables, Mount Boxes, Hand Tools, LED Faucet Taps, LED Faucet Shower Heads",http://singapore-companies-directory.com/Company_Profiles/A44/advanced_electronic_products.htm,,,,,,,,,Furniture,Bath
Aos Building Materials,"Singapore Building Supplies Company Suppliers of Sanitaryware, Bathroom Accessories, Bathroom Fittings, Bathroom Accessories, Sanitary Ware, Water Heaters, Steam Baths",http://singapore-companies-directory.com/Company_Profiles/A113/aos_building_materials.htm,,,,,,,,,Furniture,Bath
Aqualite Trading Pte Ltd,"Singapore Building Materials Company, Suppliers of Bathroom Fittings, Bathroom Accessories, Building Materials, Construction Materials",http://singapore-companies-directory.com/Company_Profiles/A119/aqualite_trading.htm,,,,,,,,,Furniture,Bath
Asia Excel Marketing,"Singapore Bathroom Fittings Company Suppliers of Electric Equipment Services, Electric Appliances, Sanitaryware, Kitchen Appliances, Bath & Toilet Appliances, Gas Appliances, Plumbing Products, Water Heaters",http://singapore-companies-directory.com/Company_Profiles/A137/asia_excel_marketing.htm,,,,,,,,,Furniture,Bath
Atom International (S) Pte Ltd,"Singapore Building Materials Supply Company Suppliers of Sanitary Products, Building Materials, Construction Materials",http://singapore-companies-directory.com/Company_Profiles/A159/atom_international.htm,,,,,,,,,Furniture,Bath
Bath Essential,"Singapore Bathroom Fittings Manufacturer of hydrotherapy and spa solutions such as Steam Shower Cabins, Sauna Cabins, Hydrotherapy, Spa Solution, electronic-controlled steam shower cabins, sauna cabins, hydro-massage baths, general bath tubs, shower panels and other spa equipment, bathroom accessories, designer tap fittings & sanitaryware",http://singapore-companies-directory.com/Company_Profiles/B17/bath_essential.htm,,,,,,,,,Furniture,Bath
BathWorld,"Singapore Bathroom Fittings Suppliers of Bathroom Fixtures & Bathroom Accessories, Bathtubs, Basins, Kitchen Sinks, Bidets, Urinal Bowls, Water Closets, Shower Fittings, Taps, Mixers",http://singapore-companies-directory.com/Company_Profiles/B17/bathworld.htm,,,,,,,,,Furniture,Bath
Bretz & Co Pte Ltd,"Singapore Retailers & wholesalers of Plumbing Products, Hardware, Bathroom Accessories, Kitchen Units, Security Products, sanitaryware, bathroom faucets & accessories, modular bathroom furniture, kitchen sinks, door handles, locksets, window ironmongery",http://singapore-companies-directory.com/Company_Profiles/B69/bretz.htm,,,,,,,,,Furniture,Bath
Chuan Heng Building Products Pte Ltd,"Singapore Company Suppliers of Building Materials, Construction Materials, Bathroom Fittings, Accessories, Bathroom Doors, Bathroom Doors, Bathroom Fittings, Bathroom Accessories, Bathroom Sinks, Bathrooms, Baths, Commercial Kitchen Equipment, Dispensing Systems, Domestic Appliances, Domestic Refrigerators, Domestic Stoves",http://singapore-companies-directory.com/Company_Profiles/C69/chuan_heng_building_products.htm,,,,,,,,,Furniture,Bath
Chuan-Fa Trading Pte Ltd,"Singapore Building Materials Company. Trading, retail & wholesale of building materials, hardware, sanitary ware, Building Materials, Construction Materials, Architectural Glass, Glass, Glass Blocks or Bricks, Glass Working Equipment, Glass Working Tools, Structural Glass",http://singapore-companies-directory.com/Company_Profiles/C71/chuan_fa_trading.htm,,,,,,,,,Furniture,Bath
