name;profile;url;categories;mobile;fax;contact;email;website;address;data_source;category;sub-category
Adidas Singapore Pte Ltd;Singapore Sportswear Company Suppliers of Sports Equipment, Sports Footwear, Sports Shoes, Sport Supplies, Sporting Goods. Clothing and Shoes Stores We strive to be the global leader in the sporting goods industry with sports brands built on a passion for sports and a sporting lifestyle;http://singapore-companies-directory.com/Company_Profiles/A39/adidas_singapore.htm;;;;;;;;;Mens Fasion;Shoes
Aldo Brue Asia Pte Ltd;Singapore Footwear Manufacturers, Shoes, Footwear Manufacturers, Wholesalers, Distributors, Shoes Manufacturers, Shoes Wholesalers, Shoes Distributors, Footwear Wholesalers, Footwear Distributors;http://singapore-companies-directory.com/Company_Profiles/A72/aldo_brue_asia.htm;;;;;;;;;Mens Fasion;Shoes
Alentino Creation Pte Ltd;Singapore Shoes Manufacturers, Shoes Wholesalers, Shoes Distributors, Footwear Manufacturers, Footwear Wholesalers, Footwear Distributors;http://singapore-companies-directory.com/Company_Profiles/A72/alentino_creation.htm;;;;;;;;;Mens Fasion;Shoes
Allstate (S) Pte Ltd;Singapore Shoes Manufacturers, Shoes Wholesalers, Shoes Distributors, Footwear Manufacturers, Footwear Wholesalers, Footwear Distributors;http://singapore-companies-directory.com/Company_Profiles/A81/allstate.htm;;;;;;;;;Mens Fasion;Shoes
Alpha Sky Pte Ltd;Singapore Shoe Manufacturers, Shoes Wholesalers, Shoes Distributors, Footwear Manufacturers, Footwear Wholesalers, Footwear Distributors;http://singapore-companies-directory.com/Company_Profiles/A84/alpha_sky.htm;;;;;;;;;Mens Fasion;Shoes
Americaya (S) Pte Ltd;Singapore Footwear Company Suppliers of Shoes, Shoes Manufacturers, Shoes Wholesalers, Shoes Distributors, Footwear Manufacturers, Footwear Wholesalers, Footwear Distributors;http://singapore-companies-directory.com/Company_Profiles/A94/americaya.htm;;;;;;;;;Mens Fasion;Shoes
Avichem International Inc;Singapore Trading Company dealing in bulk commodities such as Cement, Sugar, Steel Scrap, Coal, Chemicals, Leather Shoes, Pharmaceuticals, Herbal Cosmetics;http://singapore-companies-directory.com/Company_Profiles/A170/avichem_international.htm;;;;;;;;;Mens Fasion;Shoes
BHG (Singapore) Pte Ltd;"Singapore Department Store Chain with four stores in Bugis, Choa Chu Kang, Bishan & Tampines. Owned by the Beijing Hualian Group; product categories include apparel, beauty, shoes & bags, fashion accessories, health & sports goods";http://singapore-companies-directory.com/Company_Profiles/B42/bhg_singapore.htm;;;;;;;;;Mens Fasion;Shoes
Boby Footwear Pte Ltd;Singapore Shoes Distributors, Footwear Manufacturers, Trading, Manufacture, Retail & Wholesalers of all types of Footwear;http://singapore-companies-directory.com/Company_Profiles/B58/boby_footwear.htm;;;;;;;;;Mens Fasion;Shoes
Champion Shoe Company;Singapore Suppliers of Bags, Clothing, Belts, Fashion Accessories, Handbags, Shoes, Footwear Wholesalers, Footwear Distributors;http://singapore-companies-directory.com/Company_Profiles/C30/champion_shoe.htm;;;;;;;;;Mens Fasion;Shoes
Charles & Keith (Singapore) Pte Ltd;"Singapore Chain of concept stores that retail shoes and bags; has stores in Singapore, Australia, Japan, Indonesia, India, Thailand, UAE, Brunei Darassalum, Mauritius, Myanmar, Taiwan, Turkey, New Zealand, Greece, Egypt, and Saudi Arabia. Retailers of Footwear, Shoes, Bags, Fashion Accessories";http://singapore-companies-directory.com/Company_Profiles/C36/charles_keith.htm;;;;;;;;;Mens Fasion;Shoes
Cindini Dance International;"Singapore Suppliers of dance shoes & dance wear located at the Hong Lim Complex on Upper Cross Street; products include Ladies Dance Shoes, Mens Dance Shoes, Dancewear, Dance Apparel, Dance Sneakers, Jazz Shoes, Dance Shoe Accessories, Dance Shoe Embellishments, Dance Jewellery, Tanning Lotions, ladies & gents dance shoes, ballroom dresses, Latin costumes, pants, dance sneakers, shoe accessories";http://singapore-companies-directory.com/Company_Profiles/C77/cindini_dance_international.htm;;;;;;;;;Mens Fasion;Shoes
F J Benjamin (S) Pte Ltd;Singapore Boutiques, Fashion Shops, Beauty Aids, Beauty Services, Clothing Design, Fashion Services, Footwear, Ladies Shoes, Perfumes, Watch Components, Watches;http://singapore-companies-directory.com/Company_Profiles/F1/fj_benjamin.htm;;;;;;;;;Mens Fasion;Shoes
G S Gill (Pte) Ltd;Singapore Sports Goods Company Suppliers of Golf Equipment, Sports Clothing, Sports Footwear, Sports Goods, Sports Equipment, Sports Accessories, Sports Services;http://singapore-companies-directory.com/Company_Profiles/G1/g_s_gill.htm;;;;;;;;;Mens Fasion;Shoes
H & P Marketing;Singapore Sport Supplies Company Suppliers of Sports Equipment, Sporting Goods, Sports Clothing, Sports Footwear, Sports Goods, Sports Equipment, Sports Accessories, Sports Services;http://singapore-companies-directory.com/Company_Profiles/H1/h_&_p_marketing.htm;;;;;;;;;Mens Fasion;Shoes
